mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.017700751622517902,0.0034378883358507388,0.0028317769368489585,0.00015853064700279397,0.1,8,"{'learning_rate': 0.1, 'n_estimators': 8}",0.7631578319045148,0.7253441327213386,0.7381365518441263,0.7422128388233266,0.015704161829093455,23
0.030101776123046875,0.002415314364998535,0.004892428716023763,0.0003067374216819354,0.1,16,"{'learning_rate': 0.1, 'n_estimators': 16}",0.768058568239752,0.7653802690469808,0.767944394896372,0.7671277440610349,0.00123653024808464,14
0.056508143742879234,0.0011623987951730821,0.008410771687825521,5.476931386066718e-05,0.1,32,"{'learning_rate': 0.1, 'n_estimators': 32}",0.7846718397522803,0.7869776338204909,0.7723437892448359,0.781331087605869,0.006424319442240301,10
0.11429063479105632,0.0013947302435790218,0.016660054524739582,0.0004065361100126979,0.1,64,"{'learning_rate': 0.1, 'n_estimators': 64}",0.784026643059391,0.7922164660605637,0.783179963919473,0.7864743576798091,0.004074970174430027,8
0.24626700083414713,0.013561644210156949,0.033360799153645836,0.0010082500866321303,0.1,128,"{'learning_rate': 0.1, 'n_estimators': 128}",0.7953772176177762,0.8012274494230914,0.8001429597314089,0.7989158755907587,0.00254107649893459,6
0.47083067893981934,0.005027319705064468,0.06758300463358562,0.001983774939322932,0.1,256,"{'learning_rate': 0.1, 'n_estimators': 256}",0.809673356784087,0.81468619822945,0.8074942175622951,0.810617924191944,0.0030111240614507685,4
0.019788106282552082,0.005145161550819568,0.003536860148111979,0.000878265837905291,0.01,8,"{'learning_rate': 0.01, 'n_estimators': 8}",0.7706919574187996,0.7503609898485564,0.7337876191036979,0.7516135221236846,0.01509214308713971,19
0.03038366635640462,0.00039237673621363893,0.005072355270385742,0.00014266930055653428,0.01,16,"{'learning_rate': 0.01, 'n_estimators': 16}",0.7546978459336279,0.7548080505369856,0.7316374734697919,0.7470477899801352,0.010896832184182952,21
0.05798133214314779,0.00040729920456970825,0.009610652923583984,0.0006771244071890792,0.01,32,"{'learning_rate': 0.01, 'n_estimators': 32}",0.7429732555090685,0.7619982774222914,0.7446336694230709,0.7498684007848103,0.008603862466816364,20
0.11502710978190105,0.0033412540377491945,0.01714166005452474,0.00018811617039904896,0.01,64,"{'learning_rate': 0.01, 'n_estimators': 64}",0.7696663094200884,0.774543702901649,0.7706592470626262,0.7716230864614545,0.002104595223717645,13
0.22830724716186523,0.0036916230972385655,0.033983310063680015,0.0022065321673680424,0.01,128,"{'learning_rate': 0.01, 'n_estimators': 128}",0.7834275360312597,0.7768311987530141,0.7638861492745136,0.7747149613529292,0.008116866991819023,11
0.4647565682729085,0.013862713094420217,0.0701905091603597,0.0023941465313011786,0.01,256,"{'learning_rate': 0.01, 'n_estimators': 256}",0.7871707263651343,0.7832810212255548,0.7735907137296792,0.7813474871067895,0.005710113918075653,9
0.01401066780090332,6.369332000194935e-05,0.002998193105061849,7.534664196863753e-05,0.5,8,"{'learning_rate': 0.5, 'n_estimators': 8}",0.7852784821410655,0.7908121501674769,0.7410898336180672,0.7723934886422033,0.022250010994142855,12
0.028555949529012043,0.0007975885192434744,0.004789590835571289,0.00014930651411473438,0.5,16,"{'learning_rate': 0.5, 'n_estimators': 16}",0.7880329017782709,0.7946509651592487,0.7947790880717873,0.7924876516697689,0.0031504181010389657,7
0.05699284871419271,0.0012101047087496564,0.008987506230672201,0.000310608343720818,0.5,32,"{'learning_rate': 0.5, 'n_estimators': 32}",0.8063256757314788,0.8036053052554449,0.7953444603216401,0.801758480436188,0.004669392851616276,5
0.10840972264607747,0.007129479722227803,0.018190622329711914,0.0016346299218549037,0.5,64,"{'learning_rate': 0.5, 'n_estimators': 64}",0.8127273657123353,0.8138081254464793,0.8156999666914634,0.8140784859500926,0.0012285249276303928,3
0.3240800698598226,0.17290141474704585,0.030507326126098633,0.00465234381478309,0.5,128,"{'learning_rate': 0.5, 'n_estimators': 128}",0.8263024846228273,0.8249815848435362,0.8176427066801332,0.8229755920488322,0.0038092819816422266,2
0.4299478530883789,0.02501459860301021,0.05983996391296387,0.004773318422819193,0.5,256,"{'learning_rate': 0.5, 'n_estimators': 256}",0.8331977128254989,0.8260806298576839,0.820200914019471,0.8264930855675513,0.005313930408874622,1
0.016346295674641926,0.001526096315260319,0.0036633809407552085,0.001054880649462096,0.001,8,"{'learning_rate': 0.001, 'n_estimators': 8}",0.7425563129933381,0.7528977257165906,0.7194986426488852,0.7383175604529381,0.013960657930172529,24
0.03313509623209635,0.002410191307750306,0.005046844482421875,0.00024050806286286173,0.001,16,"{'learning_rate': 0.001, 'n_estimators': 16}",0.7570518205335269,0.7574721817540138,0.7182161220538889,0.7442467081138098,0.018407203913253407,22
0.06220817565917969,0.0011355348064546614,0.010368982950846354,0.0014531226283837375,0.001,32,"{'learning_rate': 0.001, 'n_estimators': 32}",0.7341201568090614,0.7761918043819429,0.7632869185679291,0.7578662932529778,0.017598167830354856,18
0.1475538412729899,0.037193380479198894,0.018109718958536785,0.0008896335396522035,0.001,64,"{'learning_rate': 0.001, 'n_estimators': 64}",0.7589853579269173,0.7712685223754812,0.7527595280188472,0.7610044694404152,0.0076899643042705156,17
0.23819192250569662,0.010457690645854412,0.03609331448872884,0.0039057992445874993,0.001,128,"{'learning_rate': 0.001, 'n_estimators': 128}",0.7572610394949773,0.7700691325989596,0.7577373566075581,0.7616891762338317,0.00592871380143678,16
